Date,Day of Week,Time,Temp (F)
1/9/2018,Tuesday,9:07,23
1/10/2018,Wednesday,8:58,21
1/11/2018,Thursday,9:00,39
1/12/2018,Friday,9:18,62
1/15/2018,Monday,8:09,22
1/16/2018,Tuesday,8:49,29
1/17/2018,Wednesday,8:56,33
1/18/2018,Thursday,9:16,20
1/19/2018,Friday,9:01,21
1/22/2018,Monday,8:29,43
1/23/2018,Tuesday,8:25,56
1/24/2018,Wednesday,8:42,
1/26/2018,Friday,8:20,19
1/29/2018,Monday,8:53,39
1/30/2018,Tuesday,8:41,32
1/31/2018,Wednesday,9:14,20
2/1/2018,Thursday,9:15,31
2/2/2018,Friday,8:47,29
2/5/2018,Monday,8:21,34
2/6/2018,Tuesday,9:02,30
2/7/2018,Wednesday,8:58,33
2/8/2018,Thursday,9:10,27
2/13/2018,Tuesday,8:13,27
